sample_id,dataset,dataset_name,object_id,source_light_id,target_light_id,source_object_rgb_r,source_object_rgb_g,source_object_rgb_b,target_object_rgb_r,target_object_rgb_g,target_object_rgb_b,source_patch_r_r,source_patch_r_g,source_patch_r_b,source_patch_g_r,source_patch_g_g,source_patch_g_b,source_patch_b_r,source_patch_b_g,source_patch_b_b,target_patch_r_r,target_patch_r_g,target_patch_r_b,target_patch_g_r,target_patch_g_g,target_patch_g_b,target_patch_b_r,target_patch_b_g,target_patch_b_b
real_world_dataset_2__obj000__l0__to__l0,real,real_world_dataset_2,obj000,l0,l0,28.0,35.0,37.0,28.0,35.0,37.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj001__l0__to__l0,real,real_world_dataset_2,obj001,l0,l0,36.0,29.0,35.0,36.0,29.0,35.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj002__l0__to__l0,real,real_world_dataset_2,obj002,l0,l0,41.0,30.0,38.0,41.0,30.0,38.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj003__l0__to__l0,real,real_world_dataset_2,obj003,l0,l0,31.0,47.0,40.0,31.0,47.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj004__l0__to__l0,real,real_world_dataset_2,obj004,l0,l0,51.0,36.0,36.0,51.0,36.0,36.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj005__l0__to__l0,real,real_world_dataset_2,obj005,l0,l0,76.0,34.0,37.0,76.0,34.0,37.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj006__l0__to__l0,real,real_world_dataset_2,obj006,l0,l0,51.0,81.0,47.0,51.0,81.0,47.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj007__l0__to__l0,real,real_world_dataset_2,obj007,l0,l0,97.0,59.0,40.0,97.0,59.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj008__l0__to__l0,real,real_world_dataset_2,obj008,l0,l0,119.0,41.0,35.0,119.0,41.0,35.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj009__l0__to__l0,real,real_world_dataset_2,obj009,l0,l0,70.0,98.0,53.0,70.0,98.0,53.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj010__l0__to__l0,real,real_world_dataset_2,obj010,l0,l0,122.0,75.0,49.0,122.0,75.0,49.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj011__l0__to__l0,real,real_world_dataset_2,obj011,l0,l0,167.0,66.0,54.0,167.0,66.0,54.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj012__l0__to__l0,real,real_world_dataset_2,obj012,l0,l0,106.0,126.0,77.0,106.0,126.0,77.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj013__l0__to__l0,real,real_world_dataset_2,obj013,l0,l0,161.0,110.0,76.0,161.0,110.0,76.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj014__l0__to__l0,real,real_world_dataset_2,obj014,l0,l0,172.0,78.0,67.0,172.0,78.0,67.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj015__l0__to__l0,real,real_world_dataset_2,obj015,l0,l0,130.0,154.0,102.0,130.0,154.0,102.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj016__l0__to__l0,real,real_world_dataset_2,obj016,l0,l0,177.0,140.0,97.0,177.0,140.0,97.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj017__l0__to__l0,real,real_world_dataset_2,obj017,l0,l0,174.0,122.0,101.0,174.0,122.0,101.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj018__l0__to__l0,real,real_world_dataset_2,obj018,l0,l0,28.0,38.0,40.0,28.0,38.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj019__l0__to__l0,real,real_world_dataset_2,obj019,l0,l0,32.0,30.0,35.0,32.0,30.0,35.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj020__l0__to__l0,real,real_world_dataset_2,obj020,l0,l0,40.0,29.0,38.0,40.0,29.0,38.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj021__l0__to__l0,real,real_world_dataset_2,obj021,l0,l0,28.0,52.0,41.0,28.0,52.0,41.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj022__l0__to__l0,real,real_world_dataset_2,obj022,l0,l0,52.0,35.0,35.0,52.0,35.0,35.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj023__l0__to__l0,real,real_world_dataset_2,obj023,l0,l0,80.0,33.0,39.0,80.0,33.0,39.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj024__l0__to__l0,real,real_world_dataset_2,obj024,l0,l0,44.0,73.0,52.0,44.0,73.0,52.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj025__l0__to__l0,real,real_world_dataset_2,obj025,l0,l0,90.0,57.0,48.0,90.0,57.0,48.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj026__l0__to__l0,real,real_world_dataset_2,obj026,l0,l0,121.0,42.0,46.0,121.0,42.0,46.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj027__l0__to__l0,real,real_world_dataset_2,obj027,l0,l0,69.0,97.0,71.0,69.0,97.0,71.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj028__l0__to__l0,real,real_world_dataset_2,obj028,l0,l0,122.0,78.0,65.0,122.0,78.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj029__l0__to__l0,real,real_world_dataset_2,obj029,l0,l0,165.0,70.0,66.0,165.0,70.0,66.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj030__l0__to__l0,real,real_world_dataset_2,obj030,l0,l0,98.0,127.0,99.0,98.0,127.0,99.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj031__l0__to__l0,real,real_world_dataset_2,obj031,l0,l0,158.0,114.0,93.0,158.0,114.0,93.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj032__l0__to__l0,real,real_world_dataset_2,obj032,l0,l0,175.0,83.0,84.0,175.0,83.0,84.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj033__l0__to__l0,real,real_world_dataset_2,obj033,l0,l0,121.0,154.0,124.0,121.0,154.0,124.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj034__l0__to__l0,real,real_world_dataset_2,obj034,l0,l0,178.0,146.0,120.0,178.0,146.0,120.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj035__l0__to__l0,real,real_world_dataset_2,obj035,l0,l0,176.0,120.0,117.0,176.0,120.0,117.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj036__l0__to__l0,real,real_world_dataset_2,obj036,l0,l0,28.0,36.0,39.0,28.0,36.0,39.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj037__l0__to__l0,real,real_world_dataset_2,obj037,l0,l0,40.0,33.0,39.0,40.0,33.0,39.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj038__l0__to__l0,real,real_world_dataset_2,obj038,l0,l0,42.0,30.0,39.0,42.0,30.0,39.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj039__l0__to__l0,real,real_world_dataset_2,obj039,l0,l0,21.0,50.0,46.0,21.0,50.0,46.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj040__l0__to__l0,real,real_world_dataset_2,obj040,l0,l0,51.0,34.0,40.0,51.0,34.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj041__l0__to__l0,real,real_world_dataset_2,obj041,l0,l0,78.0,32.0,45.0,78.0,32.0,45.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj042__l0__to__l0,real,real_world_dataset_2,obj042,l0,l0,32.0,66.0,64.0,32.0,66.0,64.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj043__l0__to__l0,real,real_world_dataset_2,obj043,l0,l0,85.0,54.0,60.0,85.0,54.0,60.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj044__l0__to__l0,real,real_world_dataset_2,obj044,l0,l0,125.0,44.0,57.0,125.0,44.0,57.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj045__l0__to__l0,real,real_world_dataset_2,obj045,l0,l0,57.0,99.0,91.0,57.0,99.0,91.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj046__l0__to__l0,real,real_world_dataset_2,obj046,l0,l0,115.0,77.0,85.0,115.0,77.0,85.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj047__l0__to__l0,real,real_world_dataset_2,obj047,l0,l0,161.0,67.0,86.0,161.0,67.0,86.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj048__l0__to__l0,real,real_world_dataset_2,obj048,l0,l0,87.0,124.0,116.0,87.0,124.0,116.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj049__l0__to__l0,real,real_world_dataset_2,obj049,l0,l0,150.0,116.0,114.0,150.0,116.0,114.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj050__l0__to__l0,real,real_world_dataset_2,obj050,l0,l0,177.0,83.0,100.0,177.0,83.0,100.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj051__l0__to__l0,real,real_world_dataset_2,obj051,l0,l0,112.0,152.0,141.0,112.0,152.0,141.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj052__l0__to__l0,real,real_world_dataset_2,obj052,l0,l0,172.0,145.0,138.0,172.0,145.0,138.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj053__l0__to__l0,real,real_world_dataset_2,obj053,l0,l0,177.0,119.0,130.0,177.0,119.0,130.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj054__l0__to__l0,real,real_world_dataset_2,obj054,l0,l0,28.0,36.0,45.0,28.0,36.0,45.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj055__l0__to__l0,real,real_world_dataset_2,obj055,l0,l0,34.0,31.0,42.0,34.0,31.0,42.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj056__l0__to__l0,real,real_world_dataset_2,obj056,l0,l0,46.0,28.0,41.0,46.0,28.0,41.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj057__l0__to__l0,real,real_world_dataset_2,obj057,l0,l0,24.0,41.0,51.0,24.0,41.0,51.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj058__l0__to__l0,real,real_world_dataset_2,obj058,l0,l0,50.0,35.0,57.0,50.0,35.0,57.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj059__l0__to__l0,real,real_world_dataset_2,obj059,l0,l0,84.0,31.0,57.0,84.0,31.0,57.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj060__l0__to__l0,real,real_world_dataset_2,obj060,l0,l0,12.0,73.0,85.0,12.0,73.0,85.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj061__l0__to__l0,real,real_world_dataset_2,obj061,l0,l0,79.0,50.0,76.0,79.0,50.0,76.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj062__l0__to__l0,real,real_world_dataset_2,obj062,l0,l0,116.0,41.0,74.0,116.0,41.0,74.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj063__l0__to__l0,real,real_world_dataset_2,obj063,l0,l0,39.0,98.0,104.0,39.0,98.0,104.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj064__l0__to__l0,real,real_world_dataset_2,obj064,l0,l0,114.0,85.0,109.0,114.0,85.0,109.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj065__l0__to__l0,real,real_world_dataset_2,obj065,l0,l0,156.0,66.0,102.0,156.0,66.0,102.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj066__l0__to__l0,real,real_world_dataset_2,obj066,l0,l0,74.0,121.0,132.0,74.0,121.0,132.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj067__l0__to__l0,real,real_world_dataset_2,obj067,l0,l0,143.0,119.0,136.0,143.0,119.0,136.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj068__l0__to__l0,real,real_world_dataset_2,obj068,l0,l0,179.0,81.0,110.0,179.0,81.0,110.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj069__l0__to__l0,real,real_world_dataset_2,obj069,l0,l0,97.0,149.0,155.0,97.0,149.0,155.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj070__l0__to__l0,real,real_world_dataset_2,obj070,l0,l0,168.0,148.0,160.0,168.0,148.0,160.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj071__l0__to__l0,real,real_world_dataset_2,obj071,l0,l0,179.0,120.0,144.0,179.0,120.0,144.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj072__l0__to__l0,real,real_world_dataset_2,obj072,l0,l0,27.0,38.0,56.0,27.0,38.0,56.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj073__l0__to__l0,real,real_world_dataset_2,obj073,l0,l0,34.0,31.0,57.0,34.0,31.0,57.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj074__l0__to__l0,real,real_world_dataset_2,obj074,l0,l0,40.0,26.0,43.0,40.0,26.0,43.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj075__l0__to__l0,real,real_world_dataset_2,obj075,l0,l0,13.0,54.0,85.0,13.0,54.0,85.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj076__l0__to__l0,real,real_world_dataset_2,obj076,l0,l0,42.0,39.0,74.0,42.0,39.0,74.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj077__l0__to__l0,real,real_world_dataset_2,obj077,l0,l0,79.0,31.0,76.0,79.0,31.0,76.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj078__l0__to__l0,real,real_world_dataset_2,obj078,l0,l0,1.0,84.0,131.0,1.0,84.0,131.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj079__l0__to__l0,real,real_world_dataset_2,obj079,l0,l0,66.0,55.0,98.0,66.0,55.0,98.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj080__l0__to__l0,real,real_world_dataset_2,obj080,l0,l0,112.0,43.0,98.0,112.0,43.0,98.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj081__l0__to__l0,real,real_world_dataset_2,obj081,l0,l0,0.0,96.0,139.0,0.0,96.0,139.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj082__l0__to__l0,real,real_world_dataset_2,obj082,l0,l0,103.0,81.0,129.0,103.0,81.0,129.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj083__l0__to__l0,real,real_world_dataset_2,obj083,l0,l0,144.0,67.0,121.0,144.0,67.0,121.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj084__l0__to__l0,real,real_world_dataset_2,obj084,l0,l0,25.0,111.0,143.0,25.0,111.0,143.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj085__l0__to__l0,real,real_world_dataset_2,obj085,l0,l0,127.0,123.0,164.0,127.0,123.0,164.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj086__l0__to__l0,real,real_world_dataset_2,obj086,l0,l0,172.0,82.0,135.0,172.0,82.0,135.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj087__l0__to__l0,real,real_world_dataset_2,obj087,l0,l0,76.0,143.0,161.0,76.0,143.0,161.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj088__l0__to__l0,real,real_world_dataset_2,obj088,l0,l0,145.0,146.0,175.0,145.0,146.0,175.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj089__l0__to__l0,real,real_world_dataset_2,obj089,l0,l0,179.0,110.0,148.0,179.0,110.0,148.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj090__l0__to__l0,real,real_world_dataset_2,obj090,l0,l0,24.0,44.0,76.0,24.0,44.0,76.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj091__l0__to__l0,real,real_world_dataset_2,obj091,l0,l0,27.0,38.0,66.0,27.0,38.0,66.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj092__l0__to__l0,real,real_world_dataset_2,obj092,l0,l0,42.0,28.0,64.0,42.0,28.0,64.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj093__l0__to__l0,real,real_world_dataset_2,obj093,l0,l0,5.0,63.0,124.0,5.0,63.0,124.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj094__l0__to__l0,real,real_world_dataset_2,obj094,l0,l0,14.0,56.0,116.0,14.0,56.0,116.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj095__l0__to__l0,real,real_world_dataset_2,obj095,l0,l0,68.0,29.0,97.0,68.0,29.0,97.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj096__l0__to__l0,real,real_world_dataset_2,obj096,l0,l0,1.0,82.0,158.0,1.0,82.0,158.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
real_world_dataset_2__obj097__l0__to__l0,real,real_world_dataset_2,obj097,l0,l0,29.0,64.0,120.0,29.0,64.0,120.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0
